Element,Sym,Origin of name,Group,Period,Atomic weight,Density,Melt,Boil,Heat,Neg10,Abundance
Hydrogen,H,the Greek 'hydro' and 'genes' meaning water-forming,1,1,1.0082 3 4 9,0.00008988,14.01,20.28,14.304,2.2,1400
Helium,He,the Greek 'helios' meaning sun,18,1,4.002602(2)2 4,0.0001785,0.956,4.22,5.193,�,0.008
Lithium,Li,the Greek 'lithos' meaning stone,1,2,6.942 3 4 5 9,0.534,453.69,1560,3.582,0.98,20
Beryllium,Be,"the Greek name for beryl, 'beryllo'",2,2,9.012182(3),1.85,1560,2742,1.825,1.57,2.8
Boron,B,"the Arabic 'buraq', which was the name for borax",13,2,10.812 3 4 9,2.34,2349,4200,1.026,2.04,10
Carbon,C,"the Latin 'carbo', meaning charcoal",14,2,12.0112 4 9,2.267,3800,4300,0.709,2.55,200
Nitrogen,N,the Greek 'nitron' and 'genes' meaning nitre-forming,15,2,14.0072 4 9,0.0012506,63.15,77.36,1.04,3.04,19
Oxygen,O,the Greek 'oxy' and 'genes' meaning acid-forming,16,2,15.9992 4 9,0.001429,54.36,90.2,0.918,3.44,461000
Fluorine,F,"the Latin 'fluere', meaning to flow",17,2,18.9984032(5),0.001696,53.53,85.03,0.824,3.98,585
Neon,Ne,"the Greek 'neos', meaning new",18,2,20.1797(6)2 3,0.0008999,24.56,27.07,1.03,�,0.005
Sodium,Na,the English word soda (natrium in Latin),1,3,22.98976928(2),0.971,370.87,1156,1.228,0.93,23600
Magnesium,Mg,"Magnesia, a district of Eastern Thessaly in Greece",2,3,24.3059,1.738,923,1363,1.023,1.31,23300
Aluminium,Al,"the Latin name for alum, 'alumen' meaning bitter salt",13,3,26.9815386(8),2.698,933.47,2792,0.897,1.61,82300
Silicon,Si,"the Latin 'silex' or 'silicis', meaning flint",14,3,28.0854 9,2.3296,1687,3538,0.705,1.9,282000
Phosphorus,P,"the Greek 'phosphoros', meaning bringer of light",15,3,30.973762(2),1.82,317.3,550,0.769,2.19,1050
Sulfur,S,"Either from the Sanskrit 'sulvere', or the Latin 'sulfurium', both names for sulfur",16,3,32.062 4 9,2.067,388.36,717.87,0.71,2.58,350
Chlorine,Cl,"the Greek 'chloros', meaning greenish yellow",17,3,35.452 3 4 9,0.003214,171.6,239.11,0.479,3.16,145
Argon,Ar,"the Greek, 'argos', meaning idle",18,3,39.948(1)2 4,0.0017837,83.8,87.3,0.52,�,3.5
Potassium,K,the English word potash (kalium in Latin),1,4,39.0983(1),0.862,336.53,1032,0.757,0.82,20900
Calcium,Ca,the Latin 'calx' meaning lime,2,4,40.078(4)2,1.54,1115,1757,0.647,1,41500
