id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
16194102,Large townhouse in Warriewood near Beach & shops,50355584,Karen,,Pittwater,-33.68082034870997,151.28687726491037,Entire home/apt,152,3,0,,,1,0
16231561,"Modern,  clean  &  comfortable",101457989,David & Claudia,,Pittwater,-33.7060758719311,151.29552624569587,Entire home/apt,95,1,19,2017-02-25,4.87,1,159
15526112,Bright Beachside house minutes to the beach,51175994,Jaycie,,Pittwater,-33.69997860631847,151.30749773151297,Entire home/apt,300,2,4,2017-02-04,0.85,2,365
4849322,Do you enjoy a beaches lifestyle 2,5409864,Annie,,Pittwater,-33.67956242368513,151.29191597068547,Private room,75,2,23,2017-04-02,0.90,3,349
11537464,Rooms With A View,60462412,Mel,,Pittwater,-33.70591760912532,151.29709788106663,Entire home/apt,1000,5,1,2017-01-07,0.34,1,27
8956578,Resort Style Family Townhouse,46266541,Tom,,Pittwater,-33.68341223549853,151.28818151685965,Entire home/apt,250,6,4,2017-01-01,0.26,1,323
15749144,Gorgeous apartment close to beach,101792637,Claire,,Pittwater,-33.68045570668822,151.31106345350108,Entire home/apt,85,5,1,2017-01-02,0.32,1,5
8377514,Sunny garden apt minutes from beach,44151233,Kelly,,Pittwater,-33.69674809409021,151.29492572160333,Entire home/apt,92,7,2,2017-01-01,0.11,1,0
14659573,The Cottage @ Ingleside,47004896,Homemade Holidays,,Pittwater,-33.67911307790482,151.270652833352,Entire home/apt,395,4,9,2017-03-07,1.45,2,6
16229346,North Narrabeen Northern Beaches HomeTotal Privacy,58131300,Bernie,,Pittwater,-33.7050069165622,151.28686794211748,Entire home/apt,200,3,1,2017-01-13,0.37,1,35
9298744,Mona Vale Hideaway,34710388,Linda,,Pittwater,-33.68323809543292,151.300566528113,Entire home/apt,99,2,26,2017-03-10,1.59,1,332
9079745,Northern Beaches 6Bd 3.5Bath,47349237,Ray,,Pittwater,-33.67825981981367,151.27714824476854,Entire home/apt,950,2,17,2017-02-18,1.10,1,292
4608308,Stylish Ocean View Apartment,10626491,Anna,,Pittwater,-33.67848176723196,151.31226967973646,Entire home/apt,166,3,6,2016-05-28,0.22,1,0
16221455,Private leafy granny flat 5 mins from the beach.,54807629,Jeanette,,Pittwater,-33.682091521721226,151.30185019996733,Entire home/apt,100,2,5,2017-02-28,1.67,1,290
9959193,Beach Garden Flat minutes to beach,51175994,Jaycie,,Pittwater,-33.69965488821872,151.30702181382472,Entire home/apt,100,2,25,2017-02-16,1.65,2,361
4584595,Little Narrabeen Beach House,23764716,Natalie,,Pittwater,-33.69851769406957,151.308572129667,Entire home/apt,399,5,1,2016-01-02,0.07,1,0
13629460,Northern Beaches Luxury Holiday Home,45886303,Rupa,,Pittwater,-33.69188801107508,151.2900251975252,Private room,89,1,0,,,3,119
